timestamp_utc,category,title,author,info_url,torrent_name,reason
"2026-04-04T05:16:51Z","Ebooks - Science Fiction","Terrans by Allen Stroud","Allen Stroud","https://www.myanonamouse.net/t/1232338","Terrans by Allen Stroud [English / epub]","author_not_allowlisted"
"2026-04-04T05:38:03Z","Ebooks - Fantasy","The Mine Lord by A Trae McMaken","A Trae McMaken","https://www.myanonamouse.net/t/1232340","The Mine Lord by A Trae McMaken [English / epub]","author_not_allowlisted"
"2026-04-04T05:49:52Z","Ebooks - Fantasy","Aether's Band by Daniel Schinhofen","Daniel Schinhofen","https://www.myanonamouse.net/t/1232343","Aether's Band by Daniel Schinhofen [English / epub]","author_not_allowlisted"
"2026-04-04T06:03:39Z","Ebooks - Fantasy","Bookbound Bunny by Lunadea","Lunadea","https://www.myanonamouse.net/t/1232346","Bookbound Bunny by Lunadea [English / epub]","author_not_allowlisted"
"2026-04-04T08:53:21Z","Ebooks - Fantasy","Divine Conflict by Shawn Wilson","Shawn Wilson","https://www.myanonamouse.net/t/1232362","Divine Conflict by Shawn Wilson [English / epub]","author_not_allowlisted"
"2026-04-04T11:21:06Z","Ebooks - Fantasy","Kiosk Kingdom by James A Hunter","James A Hunter","https://www.myanonamouse.net/t/1232371","Kiosk Kingdom by James A Hunter [English / epub]","author_not_allowlisted"
"2026-04-04T14:44:59Z","Ebooks - Fantasy","The Stormcrowned King by Mac Flynn","Mac Flynn","https://www.myanonamouse.net/t/1232389","The Stormcrowned King by Mac Flynn [English / epub]","author_not_allowlisted"
"2026-04-04T14:49:56Z","Ebooks - Fantasy","Palace of Disorder by Seeley Lynde","Seeley Lynde","https://www.myanonamouse.net/t/1232391","Palace of Disorder by Seeley Lynde [English / epub]","author_not_allowlisted"
"2026-04-04T15:17:28Z","Ebooks - Fantasy","The Shifter by Kendra Slone","Kendra Slone","https://www.myanonamouse.net/t/1232400","The Shifter by Kendra Slone [English / epub]","author_not_allowlisted"
"2026-04-04T15:40:16Z","Ebooks - Fantasy","The Soul Collector by Audrey Steves","Audrey Steves","https://www.myanonamouse.net/t/1232405","The Soul Collector by Audrey Steves [English / epub]","author_not_allowlisted"
"2026-04-04T16:07:02Z","Ebooks - Science Fiction","The Transcendence by J Fitzpatrick Mauldin","J Fitzpatrick Mauldin","https://www.myanonamouse.net/t/1232411","The Transcendence by J Fitzpatrick Mauldin [English / epub]","author_not_allowlisted"
"2026-04-04T16:09:14Z","Ebooks - Fantasy","Scale and Smoke by Tallie Rose","Tallie Rose","https://www.myanonamouse.net/t/1232412","Scale and Smoke by Tallie Rose [English / epub]","author_not_allowlisted"
"2026-04-04T16:15:51Z","Ebooks - Fantasy","To the Edge of Burning Shadows by Sam C Hemmings","Sam C Hemmings","https://www.myanonamouse.net/t/1232415","To the Edge of Burning Shadows by Sam C Hemmings [English / epub]","author_not_allowlisted"
"2026-04-04T20:59:08Z","Ebooks - General Fiction","Over the Fence by Mary Monroe","Mary Monroe","https://www.myanonamouse.net/t/1232474","Over the Fence by Mary Monroe [English / epub]","author_not_allowlisted"
"2026-04-04T21:59:58Z","Ebooks - Urban Fantasy","The Lighthouse at the End of the World by Philip A Suggars","Philip A Suggars","https://www.myanonamouse.net/t/1232479","The Lighthouse at the End of the World by Philip A Suggars [English / epub]","author_not_allowlisted"
"2026-04-04T22:28:04Z","Ebooks - General Fiction","Better Late than Never by Kimberla Lawson Roby","Kimberla Lawson Roby","https://www.myanonamouse.net/t/1232484","Better Late than Never by Kimberla Lawson Roby [English / epub]","author_not_allowlisted"
