timestamp_utc,category,title,author,info_url,torrent_name,reason
"2026-03-23T04:01:15Z","Ebooks - Fantasy","Deathbound Duke's Daughter: Volume 1 by Terasu Senoo","Terasu Senoo","https://www.myanonamouse.net/t/1229359","Deathbound Duke's Daughter: Volume 1 by Terasu Senoo [English / epub]","author_not_allowlisted"
"2026-03-23T04:02:54Z","Ebooks - Fantasy","Deathbound Duke's Daughter: Volume 2 by Terasu Senoo","Terasu Senoo","https://www.myanonamouse.net/t/1229360","Deathbound Duke's Daughter: Volume 2 by Terasu Senoo [English / epub]","author_not_allowlisted"
"2026-03-23T05:51:37Z","Ebooks - Young Adult","Magied","Yassmin Abdel-Magied","https://www.myanonamouse.net/t/1229368","Stand Up and Speak Out Against Racism by Yassmin Abdel-Magied [English / epub]","author_not_allowlisted"
"2026-03-23T08:21:17Z","Ebooks - General Fiction","Pan Tadeusz: The Last Foray in Lithuania by Adam Mickiewicz","Adam Mickiewicz","https://www.myanonamouse.net/t/1229381","Pan Tadeusz: The Last Foray in Lithuania by Adam Mickiewicz [English / epub]","author_not_allowlisted"
"2026-03-23T09:52:07Z","Ebooks - Science Fiction","Pleasurehouse 13 by Agnetha Anders","Agnetha Anders","https://www.myanonamouse.net/t/1229384","Pleasurehouse 13 by Agnetha Anders [English / epub, pdf]","author_not_allowlisted"
"2026-03-23T16:10:30Z","Ebooks - Fantasy","The Champion's Quest by Kelsey Brownlee","Kelsey Brownlee","https://www.myanonamouse.net/t/1229453","The Champion's Quest by Kelsey Brownlee [English / epub]","author_not_allowlisted"
"2026-03-23T16:17:33Z","Ebooks - Fantasy","The Violet Raven by E.E. Star","E E Star","https://www.myanonamouse.net/t/1229455","The Violet Raven by E E Star [English / epub]","author_not_allowlisted"
"2026-03-23T16:23:40Z","Ebooks - Fantasy","Rusted Crowns by Raven K Storm","Raven K Storm","https://www.myanonamouse.net/t/1229456","Rusted Crowns by Raven K Storm [English / epub]","author_not_allowlisted"
"2026-03-23T16:27:45Z","Ebooks - Science Fiction","Undead on Arrival by Trilby Black","Trilby Black","https://www.myanonamouse.net/t/1229457","Undead on Arrival by Trilby Black [English / epub]","author_not_allowlisted"
"2026-03-23T16:31:07Z","Ebooks - Fantasy","Big Man Smash by Benjamin Darr","Benjamin Darr","https://www.myanonamouse.net/t/1229458","Big Man Smash by Benjamin Darr [English / epub]","author_not_allowlisted"
"2026-03-23T19:16:21Z","Ebooks - General Fiction","Annie on a Bun by A.L. Duncan","A L Duncan","https://www.myanonamouse.net/t/1229490","Annie on a Bun by A L Duncan [English / epub]","author_not_allowlisted"
"2026-03-23T19:21:24Z","Ebooks - Fantasy","River Judge: A Tor Original by S.L. Huang","S L Huang","https://www.myanonamouse.net/t/1229492","River Judge: A Tor Original by S L Huang [English / epub]","author_not_allowlisted"
"2026-03-23T19:46:37Z","Ebooks - General Fiction","Whispers Of The Heart by Alexandra JoJo","Alexandra JoJo","https://www.myanonamouse.net/t/1229496","Whispers Of The Heart by Alexandra JoJo [English / epub]","author_not_allowlisted"
"2026-03-23T21:18:58Z","Ebooks - General Fiction","Such a Strange Little Girl by J.A. Baker","J A Baker","https://www.myanonamouse.net/t/1229512","Such a Strange Little Girl by J A Baker [English / epub]","author_not_allowlisted"
"2026-03-23T23:14:57Z","Ebooks - Fantasy","Escape from Faerie by Jamie A Waters","Jamie A Waters","https://www.myanonamouse.net/t/1229522","Escape from Faerie by Jamie A Waters [English / epub]","author_not_allowlisted"
"2026-03-23T23:39:04Z","Ebooks - Young Adult","Toxic Revenge by Franklin W Dixon","Franklin W Dixon","https://www.myanonamouse.net/t/1229524","Toxic Revenge by Franklin W Dixon [English / epub]","author_not_allowlisted"
"2026-03-23T23:39:09Z","Ebooks - Science Fiction","The Pitch Science Fiction 4Q2024 by Philip K Dick, Harlan Ellison, Edmond Hamilton, and 8 more","Philip K Dick","https://www.myanonamouse.net/t/1229525","The Pitch Science Fiction 4Q2024 by Philip K Dick, Harlan Ellison, Edmond Hamilton, and 8 more [English / epub]","author_not_allowlisted"
