timestamp_utc,category,title,author,info_url,torrent_name,reason
"2026-04-07T02:19:09Z","Ebooks - Fantasy","Body Cultivation Hurts by Apollos Thorne","Apollos Thorne","https://www.myanonamouse.net/t/1232989","Body Cultivation Hurts by Apollos Thorne [English / epub]","author_not_allowlisted"
"2026-04-07T02:28:26Z","Ebooks - Fantasy","Hunting and Herbalism 5 by Leif Roder, Synonymoose","Leif Roder","https://www.myanonamouse.net/t/1232993","Hunting and Herbalism 5 by Leif Roder, Synonymoose [English / epub]","author_not_allowlisted"
"2026-04-07T04:58:19Z","Ebooks - General Fiction","My Dear You by Rachel Khong","Rachel Khong","https://www.myanonamouse.net/t/1233022","My Dear You by Rachel Khong [English / epub]","author_not_allowlisted"
"2026-04-07T05:08:58Z","Ebooks - Fantasy","Rites of the Starling by Devney Perry","Devney Perry","https://www.myanonamouse.net/t/1233027","Rites of the Starling by Devney Perry [English / epub]","author_not_allowlisted"
"2026-04-07T05:21:13Z","Ebooks - Science Fiction","The Subtle Art of Folding Space by John Chu","John Chu","https://www.myanonamouse.net/t/1233030","The Subtle Art of Folding Space by John Chu [English / epub]","author_not_allowlisted"
"2026-04-07T09:22:30Z","Ebooks - General Fiction","Night Night Fawn by Jordy Rosenberg","Jordy Rosenberg","https://www.myanonamouse.net/t/1233064","Night Night Fawn by Jordy Rosenberg [English / epub]","author_not_allowlisted"
"2026-04-07T11:12:42Z","Ebooks - Fantasy","We Become Darkness by Grace Morrow","Grace Morrow","https://www.myanonamouse.net/t/1233084","We Become Darkness by Grace Morrow [English / epub]","author_not_allowlisted"
"2026-04-07T11:47:04Z","Ebooks - General Fiction","Hooked by Asako Yuzuki","Asako Yuzuki","https://www.myanonamouse.net/t/1233091","Hooked by Asako Yuzuki [English / epub]","author_not_allowlisted"
"2026-04-07T14:12:15Z","Ebooks - General Fiction","The High Heaven by Joshua Wheeler","Joshua Wheeler","https://www.myanonamouse.net/t/1233105","The High Heaven by Joshua Wheeler [English / epub]","author_not_allowlisted"
"2026-04-07T15:37:59Z","Ebooks - General Fiction","Transcription by Ben Lerner","Ben Lerner","https://www.myanonamouse.net/t/1233127","Transcription by Ben Lerner [English / epub]","author_not_allowlisted"
"2026-04-07T15:38:42Z","Ebooks - Fantasy","Year of the Mer by L.D. Lewis","L D Lewis","https://www.myanonamouse.net/t/1233128","Year of the Mer by L D Lewis [English / epub]","author_not_allowlisted"
"2026-04-07T15:44:07Z","Ebooks - Fantasy","Honey in Her Veins by Ruth McKell","Ruth McKell","https://www.myanonamouse.net/t/1233131","Honey in Her Veins by Ruth McKell [English / epub]","author_not_allowlisted"
"2026-04-07T15:49:30Z","Ebooks - Science Fiction","The Infinite Sadness of Small Appliances by Glenn Dixon","Glenn Dixon","https://www.myanonamouse.net/t/1233133","The Infinite Sadness of Small Appliances by Glenn Dixon [English / epub]","author_not_allowlisted"
"2026-04-07T16:33:13Z","Ebooks - Young Adult","Release Me by Tahereh Mafi","Tahereh Mafi","https://www.myanonamouse.net/t/1233151","Release Me by Tahereh Mafi [English / epub]","author_not_allowlisted"
"2026-04-07T16:45:11Z","Ebooks - General Fiction","The Penguin Book of the International Short Story by Rabih Alameddine, John Freeman","Rabih Alameddine","https://www.myanonamouse.net/t/1233155","The Penguin Book of the International Short Story by Rabih Alameddine, John Freeman [English / epub]","author_not_allowlisted"
"2026-04-07T22:59:22Z","Ebooks - General Fiction","Day Care by Nora Lange","Nora Lange","https://www.myanonamouse.net/t/1233225","Day Care by Nora Lange [English / epub]","author_not_allowlisted"
"2026-04-07T23:19:42Z","Ebooks - Fantasy","The Tricky Business of Faerie Bargains by Reena McCarty","Reena McCarty","https://www.myanonamouse.net/t/1233228","The Tricky Business of Faerie Bargains by Reena McCarty [English / epub]","author_not_allowlisted"
"2026-04-07T23:57:00Z","Ebooks - Fantasy","The Book Witch by Meg Shaffer","Meg Shaffer","https://www.myanonamouse.net/t/1233239","The Book Witch by Meg Shaffer [English / epub]","author_not_allowlisted"
