timestamp_utc,category,title,author,info_url,torrent_name,reason
"2026-03-22T00:16:58Z","Ebooks - Young Adult","Poisoned Paradise by Franklin W Dixon","","https://www.myanonamouse.net/t/1229128","Poisoned Paradise by Franklin W Dixon [English / epub]","author_not_detected"
"2026-03-22T00:17:02Z","Ebooks - Science Fiction","The Pitch Science Fiction 3Q2024 by Isaac Asimov, Leigh Brackett, Ray Bradbury, and 9 more","","https://www.myanonamouse.net/t/1229129","The Pitch Science Fiction 3Q2024 by Isaac Asimov, Leigh Brackett, Ray Bradbury, and 9 more [English / epub]","author_not_detected"
"2026-03-22T01:24:21Z","Ebooks - Fantasy","Lewd Dungeon: Omnibus VI Books 21-24 Lewd Dungeon Omnibus Book 6 by Stuart Grosse","","https://www.myanonamouse.net/t/1229144","Lewd Dungeon: Omnibus VI (Books 21-24) (Lewd Dungeon Omnibus Book 6) by Stuart Grosse [English / epub]","author_not_detected"
"2026-03-22T01:26:21Z","Ebooks - General Fiction","Black Bag by Luke Kennard","","https://www.myanonamouse.net/t/1229145","Black Bag by Luke Kennard [English / epub]","author_not_detected"
"2026-03-22T01:34:53Z","Ebooks - Fantasy","Lewd Dungeon Omnibus V Books 17-20 by Stuart Grosse","","https://www.myanonamouse.net/t/1229149","Lewd Dungeon Omnibus V (Books 17-20) by Stuart Grosse [English / epub]","author_not_detected"
"2026-03-22T01:42:07Z","Ebooks - Fantasy","Into the Black: Omnibus V: Books 17 Into the Black Omnibus Book 5 by Stuart Grosse","","https://www.myanonamouse.net/t/1229150","Into the Black: Omnibus V: Books 17 - 20 (Into the Black Omnibus Book 5) by Stuart Grosse [English / epub]","author_not_detected"
"2026-03-22T01:46:18Z","Ebooks - Fantasy","Into the Black: Omnibus IV: Books 13-16 Into the Black Omnibus Book 4 by Stuart Grosse","","https://www.myanonamouse.net/t/1229151","Into the Black: Omnibus IV: Books 13-16 (Into the Black Omnibus Book 4) by Stuart Grosse [English / epub]","author_not_detected"
"2026-03-22T02:14:19Z","Ebooks - Fantasy","Books 29-32 Into the Black Omnibus by Stuart Grosse","","https://www.myanonamouse.net/t/1229153","Into the Black: Omnibus 8 - Books 29-32 (Into the Black Omnibus) by Stuart Grosse [English / epub]","author_not_detected"
"2026-03-22T04:54:59Z","Ebooks - Science Fiction","Some New Book by Alpha Writer, Beta Writer","Alpha Writer","https://example.invalid/test","Some New Book by Alpha Writer, Beta Writer [English / epub]","author_not_allowlisted"
"2026-03-22T10:34:02Z","Ebooks - Young Adult","Grab","Daphne Benedis-Grab","https://www.myanonamouse.net/t/1229211","I Know You're Lying by Daphne Benedis-Grab [English / epub]","author_not_allowlisted"
"2026-03-22T11:58:37Z","Ebooks - Fantasy","Ashes of Ailushurai by Christopher D Schmitz","Christopher D Schmitz","https://www.myanonamouse.net/t/1229232","Ashes of Ailushurai by Christopher D Schmitz [English / epub]","author_not_allowlisted"
"2026-03-22T15:02:18Z","Ebooks - Science Fiction","Depth Charge by Hank Davis, Jamie Ibson","Hank Davis","https://www.myanonamouse.net/t/1229253","Depth Charge by Hank Davis, Jamie Ibson [English / epub]","author_not_allowlisted"
"2026-03-22T15:09:18Z","Ebooks - Science Fiction","Plausibly Deniable by Jamie Ibson","Jamie Ibson","https://www.myanonamouse.net/t/1229254","Plausibly Deniable by Jamie Ibson [English / epub]","author_not_allowlisted"
"2026-03-22T18:00:12Z","Ebooks - Science Fiction","A Bridge in Glass by Derek Sowers","Derek Sowers","https://www.myanonamouse.net/t/1229287","A Bridge in Glass by Derek Sowers [English / epub]","author_not_allowlisted"
"2026-03-22T18:59:35Z","Ebooks - General Fiction","The Art of Vanishing: A Memoir of Wanderlust by Laura Smith","Laura Smith","https://www.myanonamouse.net/t/1229303","The Art of Vanishing: A Memoir of Wanderlust by Laura Smith [English / epub]","author_not_allowlisted"
"2026-03-22T20:48:02Z","Ebooks - Fantasy","Acts of Deicide by L.E. Garrison","L E Garrison","https://www.myanonamouse.net/t/1229317","Acts of Deicide by L E Garrison [English / epub]","author_not_allowlisted"
"2026-03-22T20:59:43Z","Ebooks - General Fiction","Bleed into the light by Pamithra","Pamithra","https://www.myanonamouse.net/t/1229318","Bleed into the light by Pamithra [English / epub]","author_not_allowlisted"
"2026-03-22T21:02:12Z","Ebooks - Fantasy","Blueblood Alpha: The Awakening by Znel Dose","Znel Dose","https://www.myanonamouse.net/t/1229319","Blueblood Alpha: The Awakening by Znel Dose [English / epub]","author_not_allowlisted"
