timestamp_utc,category,title,author,info_url,torrent_name,reason
"2026-04-05T00:28:32Z","Ebooks - General Fiction","Kidnapped for Ransom by Jacqueline Adam","Jacqueline Adam","https://www.myanonamouse.net/t/1232506","Kidnapped for Ransom by Jacqueline Adam [English / epub]","author_not_allowlisted"
"2026-04-05T01:21:37Z","Ebooks - General Fiction","Desperate Justice by Bonnie Vanak","Bonnie Vanak","https://www.myanonamouse.net/t/1232516","Desperate Justice by Bonnie Vanak [English / epub]","author_not_allowlisted"
"2026-04-05T07:12:00Z","Ebooks - Fantasy","Teas & Tribulations by Don Jones","Don Jones","https://www.myanonamouse.net/t/1232552","Teas & Tribulations by Don Jones [English / azw3]","author_not_allowlisted"
"2026-04-05T08:06:18Z","Ebooks - Science Fiction","Recruit of Talionis by C.J. Milacci","C J Milacci","https://www.myanonamouse.net/t/1232558","Recruit of Talionis by C J Milacci [English / epub]","author_not_allowlisted"
"2026-04-05T08:36:40Z","Ebooks - Science Fiction","Enduring Fight by Kelly Schweiger","Kelly Schweiger","https://www.myanonamouse.net/t/1232564","Enduring Fight by Kelly Schweiger [English / epub]","author_not_allowlisted"
"2026-04-05T09:04:02Z","Ebooks - Fantasy","Silver Hollow by Jennifer Silverwood","Jennifer Silverwood","https://www.myanonamouse.net/t/1232567","Silver Hollow by Jennifer Silverwood [English / epub]","author_not_allowlisted"
"2026-04-05T09:33:53Z","Ebooks - Science Fiction","Laws are Wary by Lyn Gala","Lyn Gala","https://www.myanonamouse.net/t/1232568","Earth In-Laws are Wary by Lyn Gala [English / epub]","author_not_allowlisted"
"2026-04-05T09:45:59Z","Ebooks - Fantasy","The Fox's Den by Kimberly Wolfgang, Krystal Wolfgang","Kimberly Wolfgang","https://www.myanonamouse.net/t/1232572","The Fox's Den by Kimberly Wolfgang, Krystal Wolfgang [English / epub]","author_not_allowlisted"
"2026-04-05T09:47:37Z","Ebooks - Fantasy","The Trials of Kithage by Kimberly Wolfgang, Krystal Wolfgang","Kimberly Wolfgang","https://www.myanonamouse.net/t/1232573","The Trials of Kithage by Kimberly Wolfgang, Krystal Wolfgang [English / epub]","author_not_allowlisted"
"2026-04-05T09:49:05Z","Ebooks - Fantasy","The Undying Dragon by L.D. Valencia","L D Valencia","https://www.myanonamouse.net/t/1232574","The Undying Dragon by L D Valencia [English / epub]","author_not_allowlisted"
"2026-04-05T12:09:22Z","Ebooks - Science Fiction","Archduke by Ed Nelson","Ed Nelson","https://www.myanonamouse.net/t/1232590","Archduke by Ed Nelson [English / epub]","author_not_allowlisted"
"2026-04-05T16:55:00Z","Ebooks - Science Fiction","Manhood by Gregory","Gregory French","https://www.myanonamouse.net/t/1232632","Manhood by Gregory French [English / epub]","author_not_allowlisted"
"2026-04-05T17:10:06Z","Ebooks - Urban Fantasy","Druid Forge by M.D. Massey","M D Massey","https://www.myanonamouse.net/t/1232636","Druid Forge by M D Massey [English / epub]","author_not_allowlisted"
"2026-04-05T17:39:31Z","Ebooks - Fantasy","Second Life Executioner, Book 2 by J.R. Wales","J R Wales","https://www.myanonamouse.net/t/1232648","Second Life Executioner, Book 2 by J R Wales [English / epub]","author_not_allowlisted"
"2026-04-05T18:31:14Z","Ebooks - Fantasy","Vile Lady Villains by Danai Christopoulou","Danai Christopoulou","https://www.myanonamouse.net/t/1232668","Vile Lady Villains by Danai Christopoulou [English / epub]","author_not_allowlisted"
"2026-04-05T19:04:31Z","Ebooks - Young Adult","To Autumn by Katie M Hall","Katie M Hall","https://www.myanonamouse.net/t/1232678","To Autumn by Katie M Hall [English / epub]","author_not_allowlisted"
"2026-04-05T19:32:44Z","Ebooks - Fantasy","Glass Heart City by Alba Morland","Alba Morland","https://www.myanonamouse.net/t/1232690","Glass Heart City by Alba Morland [English / epub]","author_not_allowlisted"
"2026-04-05T20:07:36Z","Ebooks - General Fiction","The Drunk, The Gambler, and The Lover by Ember White","Ember White","https://www.myanonamouse.net/t/1232705","The Drunk, The Gambler, and The Lover by Ember White [English / epub]","author_not_allowlisted"
