timestamp_utc,category,title,author,info_url,torrent_name,reason
"2026-03-29T06:01:02Z","Ebooks - General Fiction","Dead End Memories by Banana Yoshimoto","Banana Yoshimoto","https://www.myanonamouse.net/t/1230852","Dead End Memories by Banana Yoshimoto [English / epub]","author_not_allowlisted"
"2026-03-29T06:08:17Z","Ebooks - General Fiction","The Gorgon Flower by John Richards","John Richards","https://www.myanonamouse.net/t/1230853","The Gorgon Flower by John Richards [English / epub]","author_not_allowlisted"
"2026-03-29T09:52:39Z","Ebooks - Urban Fantasy","Dreams So Wicked by Elizabeth J Rekab, E.J. Rekab","Elizabeth J Rekab","https://www.myanonamouse.net/t/1230872","Dreams So Wicked by Elizabeth J Rekab, E J Rekab [English / epub]","author_not_allowlisted"
"2026-03-29T09:57:31Z","Ebooks - Fantasy","Arche by Erebus Esprit","Erebus Esprit","https://www.myanonamouse.net/t/1230874","Arche by Erebus Esprit [English / epub]","author_not_allowlisted"
"2026-03-29T09:59:05Z","Ebooks - Fantasy","Anamnesis by Erebus Esprit","Erebus Esprit","https://www.myanonamouse.net/t/1230875","Anamnesis by Erebus Esprit [English / epub]","author_not_allowlisted"
"2026-03-29T10:10:41Z","Ebooks - Urban Fantasy","The Wolf Throne by Sophie L Hart","Sophie L Hart","https://www.myanonamouse.net/t/1230878","The Wolf Throne by Sophie L Hart [English / epub]","author_not_allowlisted"
"2026-03-29T10:26:49Z","Ebooks - Fantasy","Chartered Mage by TF Warden","TF Warden","https://www.myanonamouse.net/t/1230882","Chartered Mage by TF Warden [English / epub]","author_not_allowlisted"
"2026-03-29T10:41:32Z","Ebooks - Science Fiction","Radio Hope by Sean McLachlan","Sean McLachlan","https://www.myanonamouse.net/t/1230886","Radio Hope by Sean McLachlan [English / epub]","author_not_allowlisted"
"2026-03-29T11:53:04Z","Ebooks - General Fiction","One Another by Gail Jones","Gail Jones","https://www.myanonamouse.net/t/1230899","One Another by Gail Jones [English / epub]","author_not_allowlisted"
"2026-03-29T12:01:14Z","Ebooks - General Fiction","We All Lived in Bondi Then by Georgia Blain","Georgia Blain","https://www.myanonamouse.net/t/1230902","We All Lived in Bondi Then by Georgia Blain [English / epub]","author_not_allowlisted"
"2026-03-29T12:28:55Z","Ebooks - Young Adult","Here, and Only Here by Christelle Dabos","Christelle Dabos","https://www.myanonamouse.net/t/1230908","Here, and Only Here by Christelle Dabos [English / epub]","author_not_allowlisted"
"2026-03-29T12:31:38Z","Ebooks - General Fiction","Into Your Arms: Nick Cave's Songs Reimagined by Kirsten Krauth","Kirsten Krauth","https://www.myanonamouse.net/t/1230909","Into Your Arms: Nick Cave's Songs Reimagined by Kirsten Krauth [English / epub]","author_not_allowlisted"
"2026-03-29T12:36:20Z","Ebooks - General Fiction","The Conversion by Amanda Lohrey","Amanda Lohrey","https://www.myanonamouse.net/t/1230912","The Conversion by Amanda Lohrey [English / epub]","author_not_allowlisted"
"2026-03-29T16:11:42Z","Ebooks - Science Fiction","The Stars We Found by E.S. Brandon","E S Brandon","https://www.myanonamouse.net/t/1230947","The Stars We Found by E S Brandon [English / epub]","author_not_allowlisted"
"2026-03-29T16:16:30Z","Ebooks - Science Fiction","The Stars We Carry by E.S. Brandon","E S Brandon","https://www.myanonamouse.net/t/1230948","The Stars We Carry by E S Brandon [English / epub]","author_not_allowlisted"
"2026-03-29T16:30:38Z","Ebooks - Urban Fantasy","Blood Born and Mountain Bound by Isabel Campbell","Isabel Campbell","https://www.myanonamouse.net/t/1230951","Blood Born and Mountain Bound by Isabel Campbell [English / azw3, epub]","author_not_allowlisted"
"2026-03-29T17:12:39Z","Ebooks - Urban Fantasy","Tales in the Midst by Faith Hunter","Faith Hunter","https://www.myanonamouse.net/t/1230958","Tales in the Midst by Faith Hunter [English / azw3, epub]","author_not_allowlisted"
"2026-03-29T17:45:40Z","Ebooks - Urban Fantasy","Angel Tears by Steve Higgs","Steve Higgs","https://www.myanonamouse.net/t/1230968","Angel Tears by Steve Higgs [English / azw3, epub]","author_not_allowlisted"
"2026-03-29T18:22:47Z","Ebooks - Fantasy","Ravenminder by Lindsay Cummings","Lindsay Cummings","https://www.myanonamouse.net/t/1230983","Ravenminder by Lindsay Cummings [English / epub]","author_not_allowlisted"
"2026-03-29T18:27:27Z","Ebooks - Fantasy","Eagleminder: Kinlear's POV by Lindsay Cummings","Lindsay Cummings","https://www.myanonamouse.net/t/1230984","Eagleminder: Kinlear's POV by Lindsay Cummings [English / epub]","author_not_allowlisted"
"2026-03-29T18:30:59Z","Ebooks - Fantasy","Firemage: Arawn's POV by Lindsay Cummings","Lindsay Cummings","https://www.myanonamouse.net/t/1230986","Firemage: Arawn's POV by Lindsay Cummings [English / epub]","author_not_allowlisted"
"2026-03-29T20:13:04Z","Ebooks - Urban Fantasy","Living Dead by Jordan Castillo Price","Jordan Castillo Price","https://www.myanonamouse.net/t/1231021","Living Dead by Jordan Castillo Price [English / epub]","author_not_allowlisted"
"2026-03-29T20:29:58Z","Ebooks - Fantasy","Rules of Biomancy by N.J. Buller","N J Buller","https://www.myanonamouse.net/t/1231025","Rules of Biomancy by N J Buller [English / epub]","author_not_allowlisted"
"2026-03-29T20:41:20Z","Ebooks - Urban Fantasy","The Drone Lord #2 by Oleg Sapphire, Yuri Vinokuroff","Oleg Sapphire","https://www.myanonamouse.net/t/1231027","The Drone Lord #2 by Oleg Sapphire, Yuri Vinokuroff [English / epub]","author_not_allowlisted"
"2026-03-29T21:38:56Z","Ebooks - Fantasy","The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat, Vol. 8 by Rui Tsukiyo","Rui Tsukiyo","https://www.myanonamouse.net/t/1231035","The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat, Vol. 8 by Rui Tsukiyo [English / epub]","author_not_allowlisted"
