timestamp_utc,category,title,author,info_url,torrent_name,reason
"2026-03-17T08:30:33Z","Ebooks - Fantasy","Innamorata","Ava Reid","https://www.myanonamouse.net/t/1228125","Innamorata by Ava Reid [English / epub]","author_not_allowlisted"
"2026-03-17T08:44:15Z","Ebooks - General Fiction","I Love You Don't Die","Jade Song","https://www.myanonamouse.net/t/1228128","I Love You Don't Die by Jade Song [English / epub]","author_not_allowlisted"
"2026-03-17T08:52:22Z","Ebooks - General Fiction","Under Water","Tara Menon","https://www.myanonamouse.net/t/1228130","Under Water by Tara Menon [English / epub]","author_not_allowlisted"
"2026-03-17T09:06:31Z","Ebooks - Fantasy","The Somewhat Wicked Witch of Brigandale by C.M. Waggoner","C M Waggoner","https://www.myanonamouse.net/t/1228132","The Somewhat Wicked Witch of Brigandale by C M Waggoner [English / epub]","author_not_allowlisted"
"2026-03-17T09:21:59Z","Ebooks - Urban Fantasy","Only Spell Deep","Ava Morgyn","https://www.myanonamouse.net/t/1228137","Only Spell Deep by Ava Morgyn [English / epub]","author_not_allowlisted"
"2026-03-17T09:29:38Z","Ebooks - General Fiction","Life: A Love Story","Elizabeth Berg","https://www.myanonamouse.net/t/1228139","Life: A Love Story by Elizabeth Berg [English / epub]","author_not_allowlisted"
"2026-03-17T11:07:56Z","Ebooks - Fantasy","The Trials of the Core","Michael E Thies","https://www.myanonamouse.net/t/1228163","The Trials of the Core by Michael E Thies [English / epub]","author_not_allowlisted"
"2026-03-17T11:09:45Z","Ebooks - Fantasy","The Curse of Pirini Lilapa","Michael E Thies","https://www.myanonamouse.net/t/1228164","The Curse of Pirini Lilapa by Michael E Thies [English / epub]","author_not_allowlisted"
"2026-03-17T11:11:29Z","Ebooks - Fantasy","The Hunt for Lost Souls","Michael E Thies","https://www.myanonamouse.net/t/1228165","The Hunt for Lost Souls by Michael E Thies [English / epub]","author_not_allowlisted"
"2026-03-17T11:13:10Z","Ebooks - Fantasy","The Whims of Fate","Michael E Thies","https://www.myanonamouse.net/t/1228166","The Whims of Fate by Michael E Thies [English / epub]","author_not_allowlisted"
"2026-03-17T13:53:49Z","Ebooks - Fantasy","The Book Of The Fallen by A.S. Tamaki","A S Tamaki","https://www.myanonamouse.net/t/1228189","The Book Of The Fallen by A S Tamaki [English / epub]","author_not_allowlisted"
"2026-03-17T16:00:54Z","Ebooks - Action/Adventure","kang","Jung Yun-kang","https://www.myanonamouse.net/t/1228223","Surviving the Game as a Barbarian: Chapters 1–924 by Jung Yun-kang [English / epub]","author_not_allowlisted"
"2026-03-17T16:13:16Z","Ebooks - Fantasy","Empress of the Undead: A LitRPG Kingdom Builder","Lilith Marlowe","https://www.myanonamouse.net/t/1228226","Empress of the Undead: A LitRPG Kingdom Builder by Lilith Marlowe [English / epub]","author_not_allowlisted"
"2026-03-17T16:18:15Z","Ebooks - Fantasy","Empress of the Undead 3: A LitRPG Kingdom Builder","Lilith Marlowe","https://www.myanonamouse.net/t/1228227","Empress of the Undead 3: A LitRPG Kingdom Builder by Lilith Marlowe [English / epub]","author_not_allowlisted"
"2026-03-17T16:19:46Z","Ebooks - Fantasy","Empress of the Undead 2: A LitRPG Kingdom Builder BOOK 2","Lilith Marlowe","https://www.myanonamouse.net/t/1228229","Empress of the Undead 2: A LitRPG Kingdom Builder (BOOK 2) by Lilith Marlowe [English / epub]","author_not_allowlisted"
"2026-03-17T16:22:08Z","Ebooks - Fantasy","Empress of the Undead: A LitRPG Kingdom Builder","Lilith Marlowe","https://www.myanonamouse.net/t/1228230","Empress of the Undead: A LitRPG Kingdom Builder by Lilith Marlowe [English / epub]","author_not_allowlisted"
"2026-03-17T16:25:32Z","Ebooks - Fantasy","Empress of the Undead: A LitRPG Kingdom Builder Book 5","Lilith Marlowe","https://www.myanonamouse.net/t/1228231","Empress of the Undead: A LitRPG Kingdom Builder (Book 5) by Lilith Marlowe [English / epub]","author_not_allowlisted"
"2026-03-17T16:39:18Z","Ebooks - Fantasy","Nightmare Realm Summoner 2","Actus","https://www.myanonamouse.net/t/1228233","Nightmare Realm Summoner 2 by Actus [English / epub]","author_not_allowlisted"
"2026-03-17T17:18:13Z","Ebooks - Fantasy","Ocean of Ink by A.R. Conwell","A R Conwell","https://www.myanonamouse.net/t/1228237","Ocean of Ink by A R Conwell [English / epub]","author_not_allowlisted"
"2026-03-17T18:38:06Z","Ebooks - Fantasy","Daughter of the Hunt","K Arsenault Rivera","https://www.myanonamouse.net/t/1228252","Daughter of the Hunt by K Arsenault Rivera [English / epub]","author_not_allowlisted"
"2026-03-17T20:34:29Z","Ebooks - Fantasy","Queen of the Night Sky","Amalie Howard","https://www.myanonamouse.net/t/1228273","Queen of the Night Sky by Amalie Howard [English / epub]","author_not_allowlisted"
"2026-03-17T21:06:06Z","Ebooks - Action/Adventure","Target: New York","Lee Jackson","https://www.myanonamouse.net/t/1228280","Target: New York by Lee Jackson [English / epub]","author_not_allowlisted"
"2026-03-17T22:02:04Z","Ebooks - Fantasy","The Sky Called Her Home by B.J. Wilde","B J Wilde","https://www.myanonamouse.net/t/1228291","The Sky Called Her Home by B J Wilde [English / epub]","author_not_allowlisted"
