timestamp_utc,category,title,author,info_url,torrent_name,reason
"2026-03-27T01:10:05Z","Ebooks - Science Fiction","Forged Unity: A Space Opera Adventure by M.J. Markgraf","M J Markgraf","https://www.myanonamouse.net/t/1230326","Forged Unity: A Space Opera Adventure by M J Markgraf [English / epub]","author_not_allowlisted"
"2026-03-27T04:28:57Z","Ebooks - General Fiction","The Golden Boy by Patricia Finn","Patricia Finn","https://www.myanonamouse.net/t/1230360","The Golden Boy by Patricia Finn [English / epub]","author_not_allowlisted"
"2026-03-27T04:51:26Z","Ebooks - Fantasy","Ruinous Creatures by Jessi Cole Jackson","Jessi Cole Jackson","https://www.myanonamouse.net/t/1230363","Ruinous Creatures by Jessi Cole Jackson [English / epub]","author_not_allowlisted"
"2026-03-27T12:24:49Z","Ebooks - Young Adult","The Austen Girls by Lucy Worsley","Lucy Worsley","https://www.myanonamouse.net/t/1230402","The Austen Girls by Lucy Worsley [English / epub]","author_not_allowlisted"
"2026-03-27T12:35:04Z","Ebooks - Young Adult","We Who Hunt the Hollow by Kate Murray","Kate Murray","https://www.myanonamouse.net/t/1230405","We Who Hunt the Hollow by Kate Murray [English / epub]","author_not_allowlisted"
"2026-03-27T12:47:01Z","Ebooks - General Fiction","Soft Serve by George Kemp","George Kemp","https://www.myanonamouse.net/t/1230409","Soft Serve by George Kemp [English / epub]","author_not_allowlisted"
